id,gold,prediction,correct
08c580f4-d08b-439f-bd5b-903378caad2f,News,News,yes
c7cd7782-cbe6-4580-abc9-9a81fe9f2bb6,News,Blog,no
b68451f8-b484-4d84-b4fb-2c003c1559d9,Blog,Blog,yes
0b51b9aa-9d69-4248-afe1-ee314b4d9f4d,News,News,yes
4d3790ba-c549-4dcb-93de-cfe25e8cdbee,News,News,yes
d73be661-0088-4c56-8c99-444a8a19426f,News,News,yes
f7417545-73e3-4f05-a89a-9444b57e563c,News,Blog,no
445317df-e2ee-45e7-840e-9dc5e869da42,Blog,Blog,yes
41cdffde-30d2-4758-904f-f14b2aecbc73,Blog,News,no
4dc0681c-5550-490d-8d35-cff465ffb1c1,News,Blog,no
2d1c35ba-800c-4390-a6f8-9a93b9554c02,News,News,yes
53c92b7a-8907-48c7-a851-f957d79ca228,News,News,yes
46c26006-4a6b-488c-8e8f-79d53af9fa36,Blog,News,no
a9d39482-a5fb-4ece-b39a-1f831b45cf17,News,News,yes
dc757e19-c571-44f1-9276-82bf5272f34d,Blog,Blog,yes
64811098-a6fe-41db-a0b9-985928248df0,Blog,Blog,yes
e019d915-a3a1-4f8e-92c0-e8bae41afed3,Blog,Blog,yes
06f62e79-b7a2-4808-8ee6-68942d1ee735,News,News,yes
83393feb-5ea7-4b72-aad3-044e068af7c3,Blog,Blog,yes
0f3bbae4-c3a0-4180-98a6-0d8ac9e1248e,News,Blog,no
f2b9fe13-e938-4f31-b79c-04fb4648f318,News,News,yes
3817069a-2458-41d1-934d-bdc09a9d3161,Blog,Blog,yes
7743ee66-7430-426d-a6af-d8f5e7c0e544,Blog,Blog,yes
73924e6a-b7ab-49ff-a159-d1f3810ac07f,Blog,News,no
40467977-3f63-4b59-8b65-e394ccd7338b,Blog,Blog,yes
fe4dd44b-c01d-415b-9573-d604182fd6b3,Blog,Blog,yes
86aeccb8-82af-4187-b5c3-de01a5522f10,Blog,Blog,yes
cbb2d5ab-d0f3-47cf-a5cd-198fbd6d6424,Blog,Blog,yes
3ca62666-8747-4fc0-a89e-1f0c6bbc8b4b,Blog,Blog,yes
e8f9ad2f-2ef7-4b40-9925-3e688b579c87,News,News,yes
ea4cc792-d368-475e-b2d5-3b0afe964671,Blog,Blog,yes
c61a305e-2630-4b1b-82ab-d1fb3116bec7,News,News,yes
6141e541-d13e-432d-875a-40b2c2345243,Blog,Blog,yes
148be462-3ecf-4ed8-b167-2bb406aff14c,Blog,Blog,yes
7ee78fb6-e0e2-476d-89c0-da1035378da6,News,Blog,no
9b963373-788f-4f2a-afe9-09e7d35eb60c,News,News,yes
